Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-13 19:19:18.763331-0300 0x811      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] AMDRadeonX6000_AmdRadeonControllerNavi10::probe() !!! FAIL: Check ID! device_id:0x73bf rev_id:0xc0
2026-09-13 19:19:19.078805-0300 0x867      Default     0x0                  0      0    kernel: Boot args: -v debug=0x100 keepsyms=1 npci=0x2000 agdpmod=pikera
2026-09-13 19:19:20.733435-0300 0x865      Default     0x0                  0      0    kernel: Boot args: -v debug=0x100 keepsyms=1 npci=0x2000 agdpmod=pikera
2026-09-13 19:19:21.382559-0300 0x832      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::vendor_doDeviceAttribute() ??? Controller is NOT enabled so SKIP. cmd:[       3].
2026-09-13 19:19:21.382770-0300 0xa50      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) Adding AGDP mode validate property
2026-09-13 19:19:21.383755-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 600956928.00000000 Event:Framebuffer [4]
2026-09-13 19:19:21.384351-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 601153536.00000000 Event:Framebuffer [4]
2026-09-13 19:19:21.384911-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 601350144.00000000 Event:Framebuffer [4]
2026-09-13 19:19:21.385685-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 601612288.00000000 Event:Framebuffer [4]
2026-09-13 19:19:21.386043-0300 0x41a      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:0] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 19:19:21.386047-0300 0x41a      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:1] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 19:19:21.386049-0300 0x41a      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:2] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 19:19:21.386052-0300 0x41a      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:3] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 19:19:21.802328-0300 0xa76      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 19:19:21.812515-0300 0xa76      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 19:19:21.822559-0300 0xa76      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 19:19:21.832655-0300 0xa76      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 19:19:21.842891-0300 0xa76      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 19:19:21.862720-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 436352640.00000000 Event:ValidateModeTiming [a]
2026-09-13 19:19:21.862727-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1920 x 1080, ext_blanking=0, 228800000 Hz
2026-09-13 19:19:21.862731-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 19:19:21.862735-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 1920 x 1080, 228800000 Hz
2026-09-13 19:19:21.862738-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 19:19:21.862740-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 19:19:21.863022-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 436352640.00000000 Event:ValidateModeTiming [a]
2026-09-13 19:19:21.863028-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1920 x 1080, ext_blanking=0, 138500000 Hz
2026-09-13 19:19:21.863031-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 19:19:21.863034-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 1920 x 1080, 138500000 Hz
2026-09-13 19:19:21.863037-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 19:19:21.863039-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 19:19:21.863302-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: 436352640.00000000 Event:ValidateModeTiming [a]
2026-09-13 19:19:21.863307-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1280 x 720, ext_blanking=0, 74250000 Hz
2026-09-13 19:19:21.863310-0300 0x41a      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
