Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-13 16:47:21.820898-0300 0x795      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] AMDRadeonX6000_AmdRadeonControllerNavi10::probe() !!! FAIL: Check ID! device_id:0x73bf rev_id:0xc0
2026-09-13 16:47:22.109818-0300 0x7f8      Default     0x0                  0      0    kernel: Boot args: -v debug=0x100 keepsyms=1 npci=0x2000 agdpmod=pikera
2026-09-13 16:47:22.109818-0300 0x7f6      Default     0x0                  0      0    kernel: Boot args: -v debug=0x100 keepsyms=1 npci=0x2000 agdpmod=pikera
2026-09-13 16:47:23.823212-0300 0x7b1      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::vendor_doDeviceAttribute() ??? Controller is NOT enabled so SKIP. cmd:[       3].
2026-09-13 16:47:23.823431-0300 0x9a7      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) Adding AGDP mode validate property
2026-09-13 16:47:23.824405-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -116469760.00000000 Event:Framebuffer [4]
2026-09-13 16:47:23.824823-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -116207616.00000000 Event:Framebuffer [4]
2026-09-13 16:47:23.825596-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -116404224.00000000 Event:Framebuffer [4]
2026-09-13 16:47:23.826573-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -116011008.00000000 Event:Framebuffer [4]
2026-09-13 16:47:23.826787-0300 0x3e6      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:0] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 16:47:23.826794-0300 0x3e6      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:1] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 16:47:23.826797-0300 0x3e6      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:2] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 16:47:23.826800-0300 0x3e6      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [FB:3] AmdRadeonFramebuffer::setCursorImage() !!! Driver is offline.
2026-09-13 16:47:24.244551-0300 0x9dc      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 16:47:24.264256-0300 0x9dc      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 16:47:24.274329-0300 0x9dc      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 16:47:24.316013-0300 0x9dc      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 16:47:24.326052-0300 0x9dc      Default     0x0                  0      0    kernel: (AMDRadeonX6000Framebuffer) [7:0:0] [AGDC] AMDRadeonX6000_AmdAgdcServices::auxStreamTransfer() ??? AUX Not Supported on This Port: 4.
2026-09-13 16:47:24.375840-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.375851-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1920 x 1080, ext_blanking=0, 228800000 Hz
2026-09-13 16:47:24.375856-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.375860-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 1920 x 1080, 228800000 Hz
2026-09-13 16:47:24.375863-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.375865-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.376147-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.376152-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1920 x 1080, ext_blanking=0, 138500000 Hz
2026-09-13 16:47:24.376156-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.376159-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 1920 x 1080, 138500000 Hz
2026-09-13 16:47:24.376162-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.376163-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.376410-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.376416-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1280 x 720, ext_blanking=0, 74250000 Hz
2026-09-13 16:47:24.376420-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.376423-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 1280 x 720, 74250000 Hz
2026-09-13 16:47:24.376426-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.376428-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.376656-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.376661-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 720 x 480, ext_blanking=0, 27000000 Hz
2026-09-13 16:47:24.376664-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.376668-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 720 x 480, 27000000 Hz
2026-09-13 16:47:24.376670-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.376672-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.376885-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.376890-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 640 x 480, ext_blanking=0, 25174999 Hz
2026-09-13 16:47:24.376893-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.376896-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 640 x 480, 25174999 Hz
2026-09-13 16:47:24.376899-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.376901-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.377122-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.377127-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 720 x 576, ext_blanking=0, 27000000 Hz
2026-09-13 16:47:24.377130-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.377133-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 720 x 576, 27000000 Hz
2026-09-13 16:47:24.377136-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.377138-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.377354-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.377359-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1280 x 720, ext_blanking=0, 74250000 Hz
2026-09-13 16:47:24.377362-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:752 kAGDCRegisterLinkValidateModeTiming-ext: pEnc 0x2, pBPC=0x2, pColometry=0x80, dRange=0x1 dscBPP=0
2026-09-13 16:47:24.377365-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:166 Validating mode FB:0 -> 1280 x 720, 74250000 Hz
2026-09-13 16:47:24.377368-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: validateMode:368 response accepted on:0
2026-09-13 16:47:24.377370-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:781 kAGDCRegisterLinkValidateModeTiming: accepted by policy.
2026-09-13 16:47:24.377579-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:484 VendorEventHandler [GFX0:AMD]: Port: -1336215936.00000000 Event:ValidateModeTiming [a]
2026-09-13 16:47:24.377588-0300 0x3e6      Default     0x0                  0      0    kernel: (AppleGraphicsDevicePolicy) AGDP:: VendorEventHandler:751 kAGDCRegisterLinkValidateModeTiming: FB:0 -> 1920 x 1080, ext_blanking=0, 148500000 Hz
