        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-09-13 06:43:21 ,         498.0   ,             14.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4308   ,
2026-09-13 06:43:22 ,         498.0   ,             12.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               28.0   ,                  4302   ,
2026-09-13 06:43:23 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4303   ,
2026-09-13 06:43:24 ,         498.0   ,             10.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4297   ,
2026-09-13 06:43:25 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               28.0   ,                  4306   ,
2026-09-13 06:43:26 ,         498.0   ,             12.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               30.0   ,                  4302   ,
2026-09-13 06:43:28 ,         498.0   ,             14.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          1   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               28.0   ,                  4314   ,
2026-09-13 06:43:29 ,         497.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4313   ,
2026-09-13 06:43:29 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4307   ,
2026-09-13 06:43:30 ,         498.0   ,             10.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4305   ,
2026-09-13 06:43:32 ,         498.0   ,              8.0   ,               47.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4296   ,
2026-09-13 06:43:33 ,         498.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               27.0   ,                  4289   ,
2026-09-13 06:43:34 ,         497.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4291   ,
2026-09-13 06:43:35 ,         498.0   ,             10.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4287   ,
2026-09-13 06:43:36 ,         497.0   ,              8.0   ,               48.0   ,                          49.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4286   ,
2026-09-13 06:43:37 ,         498.0   ,              8.0   ,               48.0   ,                          48.0   ,               0   ,                   0   ,          0   ,                        1   ,                        235   ,                       51   ,                  15.0   ,         0.800   ,               26.0   ,                  4286   ,
