        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-09-13 06:46:24 ,         501.0   ,             14.0   ,               47.0   ,                          50.0   ,               0   ,                   0   ,          1   ,                        2   ,                        643   ,                      307   ,                  15.0   ,         0.800   ,               37.0   ,                  4861   ,
2026-09-13 06:46:25 ,         578.0   ,           1114.0   ,               48.0   ,                          52.0   ,               0   ,                   0   ,          2   ,                        0   ,                       1203   ,                      307   ,                  35.0   ,         0.800   ,               38.0   ,                  4908   ,
2026-09-13 06:46:26 ,        2456.0   ,           1988.0   ,               58.0   ,                          73.0   ,               0   ,                   0   ,         97   ,                       63   ,                       1233   ,                      310   ,                 254.0   ,         1.118   ,               38.0   ,                  4918   ,
2026-09-13 06:46:27 ,        2448.0   ,           1988.0   ,               63.0   ,                          77.0   ,              32   ,                 988   ,         97   ,                       60   ,                       1233   ,                      310   ,                 254.0   ,         1.118   ,               37.0   ,                  4923   ,
2026-09-13 06:46:28 ,        2443.0   ,           1990.0   ,               64.0   ,                          78.0   ,              30   ,                 861   ,         97   ,                       63   ,                       1233   ,                      310   ,                 255.0   ,         1.112   ,               37.0   ,                  4924   ,
2026-09-13 06:46:29 ,        2436.0   ,           1990.0   ,               63.0   ,                          78.0   ,              30   ,                 825   ,         97   ,                       63   ,                       1234   ,                      310   ,                 254.0   ,         1.118   ,               38.0   ,                  4924   ,
2026-09-13 06:46:30 ,        2427.0   ,           1988.0   ,               64.0   ,                          78.0   ,              30   ,                 816   ,         97   ,                       65   ,                       1234   ,                      310   ,                 254.0   ,         1.106   ,               37.0   ,                  4924   ,
2026-09-13 06:46:31 ,        2427.0   ,           1988.0   ,               64.0   ,                          78.0   ,              30   ,                 816   ,         97   ,                       65   ,                       1234   ,                      310   ,                 254.0   ,         1.106   ,               29.0   ,                  4924   ,
2026-09-13 06:46:32 ,         501.0   ,             12.0   ,               54.0   ,                          54.0   ,              30   ,                 817   ,          1   ,                        2   ,                       1234   ,                      310   ,                 255.0   ,         0.800   ,               36.0   ,                  4924   ,
2026-09-13 06:46:33 ,        2426.0   ,           1988.0   ,               64.0   ,                          77.0   ,              30   ,                 852   ,         97   ,                       66   ,                       1234   ,                      310   ,                 255.0   ,         1.106   ,               37.0   ,                  4925   ,
2026-09-13 06:46:34 ,        2419.0   ,           1988.0   ,               65.0   ,                          79.0   ,              30   ,                 860   ,         97   ,                       64   ,                       1234   ,                      310   ,                 254.0   ,         1.106   ,               37.0   ,                  4925   ,
2026-09-13 06:46:35 ,        2421.0   ,           1988.0   ,               66.0   ,                          79.0   ,              30   ,                 891   ,         97   ,                       63   ,                       1234   ,                      310   ,                 254.0   ,         1.112   ,               37.0   ,                  4925   ,
2026-09-13 06:46:36 ,        2410.0   ,           1988.0   ,               66.0   ,                          79.0   ,              30   ,                 905   ,         98   ,                       62   ,                       1234   ,                      310   ,                 255.0   ,         1.100   ,               37.0   ,                  4929   ,
2026-09-13 06:46:37 ,        2407.0   ,           1988.0   ,               66.0   ,                          81.0   ,              30   ,                 924   ,         98   ,                       65   ,                       1234   ,                      310   ,                 255.0   ,         1.093   ,               37.0   ,                  4929   ,
2026-09-13 06:46:38 ,        2407.0   ,           1988.0   ,               66.0   ,                          80.0   ,              31   ,                 947   ,         97   ,                       60   ,                       1234   ,                      310   ,                 255.0   ,         1.093   ,               37.0   ,                  4928   ,
2026-09-13 06:46:39 ,        2401.0   ,           1988.0   ,               67.0   ,                          80.0   ,              32   ,                 961   ,         97   ,                       61   ,                       1238   ,                      310   ,                 254.0   ,         1.087   ,               38.0   ,                  4928   ,
2026-09-13 06:46:40 ,        2433.0   ,           1988.0   ,               66.0   ,                          80.0   ,              33   ,                 990   ,         96   ,                       59   ,                       1238   ,                      310   ,                 254.0   ,         1.118   ,               38.0   ,                  4926   ,
2026-09-13 06:46:41 ,        2431.0   ,           1988.0   ,               66.0   ,                          81.0   ,              33   ,                1012   ,         96   ,                       60   ,                       1238   ,                      310   ,                 255.0   ,         1.112   ,               37.0   ,                  4927   ,
2026-09-13 06:46:42 ,        2436.0   ,           1988.0   ,               67.0   ,                          81.0   ,              33   ,                1002   ,         97   ,                       59   ,                       1238   ,                      310   ,                 255.0   ,         1.112   ,               36.0   ,                  4927   ,
2026-09-13 06:46:43 ,        2425.0   ,           1990.0   ,               67.0   ,                          81.0   ,              33   ,                1000   ,         98   ,                       61   ,                       1238   ,                      310   ,                 255.0   ,         1.106   ,               38.0   ,                  4927   ,
2026-09-13 06:46:44 ,        2428.0   ,           1988.0   ,               68.0   ,                          81.0   ,              33   ,                 996   ,         97   ,                       63   ,                       1238   ,                      310   ,                 254.0   ,         1.112   ,               37.0   ,                  4926   ,
2026-09-13 06:46:45 ,        2415.0   ,           1988.0   ,               68.0   ,                          81.0   ,              33   ,                1004   ,         97   ,                       64   ,                       1238   ,                      310   ,                 254.0   ,         1.106   ,               37.0   ,                  4929   ,
2026-09-13 06:46:46 ,        2419.0   ,           1988.0   ,               68.0   ,                          81.0   ,              33   ,                1000   ,         97   ,                       64   ,                       1238   ,                      310   ,                 254.0   ,         1.106   ,               38.0   ,                  4926   ,
2026-09-13 06:46:47 ,        2424.0   ,           1988.0   ,               68.0   ,                          83.0   ,              33   ,                 999   ,         98   ,                       63   ,                       1238   ,                      310   ,                 254.0   ,         1.112   ,               38.0   ,                  4929   ,
